title,speaker,calling,year,season,url,paragraph_number,text
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,1,"My beloved brothers and sisters, as we welcome you to this historic April 2020 general conference of The Church of Jesus Christ of Latter-day Saints, for reasons you know, I stand before you in an empty auditorium!"
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,2,"Little did I know, when I promised you at the October 2019 general conference that this April conference would be memorable and unforgettable, that speaking to a visible congregation of fewer than 10 people would make this conference so memorable and unforgettable for me! Yet the knowledge that you are participating by electronic transmission, and the choirs beautiful rendition of It Is Well with My Soul, bring great comfort to my soul."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,3,"As you know, attendance at this general conference has been strictly limited as part of our efforts to be good global citizens and do all we can to limit the spread of COVID-19. This virus has had a major impact throughout the world. It has also altered our Church meetings, missionary service, and temple work for a while."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,4,"Though todays restrictions relate to a virulent virus, lifes personal trials stretch far beyond this pandemic. Future trials could result from an accident, a natural disaster, or an unexpected personal heartache."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,5,"How can we endure such trials? The Lord has told us that if ye are prepared ye shall not fear. Of course, we can store our own reserves of food, water, and savings. But equally crucial is our need to fill our personal spiritual storehouses with faith, truth, and testimony."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,6,"Our ultimate quest in life is to prepare to meet our Maker. We do this by striving daily to become more like our Savior, Jesus Christ. And we do that as we repent daily and receive His cleansing, healing, and strengthening power. Then we can feel enduring peace and joy, even during turbulent times. This is exactly why the Lord has implored us to stand in holy places and be not moved."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,7,"This year, we commemorate the 200th anniversary of one of the most significant events in the history of the worldnamely, the appearance of God the Father and His Beloved Son, Jesus Christ, to Joseph Smith. During that singular vision, God the Father pointed to Jesus Christ and said: This is My Beloved Son. Hear Him!"
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,8,"That admonition given to Joseph is for each of us. We are to seek, in every way we can, to hear Jesus Christ, who speaks to us through the power and ministering of the Holy Ghost."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,9,"The purpose of this and every general conference is to help us to hear Him. We have prayed, and invite you to pray, that the Spirit of the Lord will be with us in such rich abundance that you can hear the messages that the Savior has especially for youmessages that will bring peace to your soul. Messages that will heal your broken heart. Messages that will illuminate your mind. Messages that will help you know what to do as you move ahead through times of turmoil and trial."
Opening Message,By President Russell M. Nelson,President of The Church of Jesus Christ of Latter-day Saints,2020,April,https://www.churchofjesuschrist.org/study/general-conference/2020/04/11nelson?lang=eng,10,"We pray that this conference will be memorable and unforgettable because of the messages you will hear, the unique announcements which will be made, and the experiences in which you will be invited to participate."
